单间 | 青客公寓地铁一号线龙眠大道地铁站，义务商品城对面，押 980元/月,东山天景山公寓瑞庭苑,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-hnjjh7WTVP5YwutAux7xlax_7k2_EqtKrP9BQOK_q2qF8lqQQOzSVWrE2gJv3TDO4f_qceDhSVHJzOMkNr3kS6ZtAUEnEhkw6t-6AkmTIFzHdFoqNyNhGQs5y-YFyH8JD2PY-zLGGF76ApDR5hWRpH8YZE29olTwQ5oh-9keks3A&local=172&pubid=30372321&apptype=0&psid=110112032199648476633347679&entinfo=33661035564106_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 3号线地铁口建康路夫子庙景区 新街口建康花苑小区 1450元/月,建康路建康花苑,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-gbxC1Nx8flNcLCFiak-IZRx_7k2_EqtKpGOS7ODsUcUM4Wszny6UrL76gIcbHwYe23qkt3EzCuz-rulw_dwCLVZtAUEnEhkw6t-6AkmTIFzHdFoqNyNhGQdf8NjP6XVONG2xZy3Sf7vKApDR5hWRpH8YZE29olTwQg93950Vj09w&local=172&pubid=30552106&apptype=0&psid=110112032199648476633347679&entinfo=33684002413746_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
整租 | 迈皋桥 月苑小区 营苑西村 精装3房急租 家电齐全拎 2300元/月,月苑营苑新寓,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0Ri5DFkPAJE5E9xGC3BN4FcyBP1ZKMCGY36wz9OMsSxmEHuKF2p20nVeEvZYetOdm7NSMdcOV5RgGOaYFQoyojuZtAUEnEhkw6t-6AkmTIFzKl4H5QrUvdByv_efMkddwPcY__O-ikpYXK6Q-YyQO7rZ4Va80-ZO1n7YslHZ0UkWqoj08mTC5as&local=172&pubid=30545904&apptype=0&psid=110112032199648476633347679&entinfo=33686767998379_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
整租 | 双地铁1、3号线鼓楼站、鸡鸣寺站拎包入住 精装家电 3400元/月,丹凤街时代华府,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0SBsGnlhRW-5YYzsgVms0N-yBP1ZKMCGY2-pTzNyFodGhz8-dk6Xkw_eEvZYetOdm7scB0tGk3YHIukfCbRGVaWhwAwIAsnVFXwBJEG1eTyTIsiu1SCX0XjbAqpsJrLXxU2c81EOV2OrEgnTnuV4ut2oMzJts5psgUhCnPAqNhSNA&local=172&pubid=30508078&apptype=0&psid=110112032199648476633347679&entinfo=33683260409133_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 新民花苑 拒绝黑中介 月付无压力 家具齐全 精装修 1302元/月,科学园新民花苑,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-jbHT1fRvXCjz5JzVmfkD8Ox_7k2_EqtKq6WIN0my-A10PgTRV2WAGWrE2gJv3TDO5M7dSMdU1bF9SEUM9Qe6Azr-QuiAazy32ZP8Bnp73E3fK4Hv_B4rVWDSvBgw2myLNXVSVc_Oi5BEgnTnuV4ut2oMzJts5psgVkSWobrIgnyFouVjHO1K_2&local=172&pubid=30544496&apptype=0&psid=110112032199648476633347679&entinfo=33686843873601_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
整租 | 东方万汇城 10线地铁口旁 精品单室套 1800元/月,江浦东方万汇国际公寓(东方万,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0Q3VhcsbdsNdLdALWB_OnibyBP1ZKMCGY3NELZ6GgXUkIHtb9p6LVZheEvZYetOdm7hnuQmXPNsgYukfCbRGVaWhwAwIAsnVFXwBJEG1eTyTIsiu1SCX0Xj9bF9awBDIvAOfSfsX0W9UEgnTnuV4ut2oMzJts5psgVzlAGqrzOeWA&local=172&pubid=30521785&apptype=0&psid=110112032199648476633347679&entinfo=33642274112431_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 月付 兴隆大街 绿博园 奥体 梦都大街 河西大厦管理 1200元/月,奥体清竹园,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-iK_VI3uVNq3aD3n-dqkD5Ux_7k2_EqtKqszMYA4chEBe2TOtgY57FGZexEDM3yPWK3qkt3EzCuzzMWIdRJ4jzwZtAUEnEhkw6t-6AkmTIFzHdFoqNyNhGQgwxnsGZyX-QI_TIiFXll9KApDR5hWRpH8YZE29olTwQAgM-j1nJ4ig&local=172&pubid=30521915&apptype=0&psid=110112032199648476633347679&entinfo=33683336160971_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 铂金时代 2号线兴隆大街 凯旋丽都花园 兴隆新寓 精 1400元/月,建邺周边欧洲城铂金时代公寓,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-jTnFqtRtqoxRa5F5icZBqcx_7k2_EqtKpRusG2Ov1V-d5lJClVdsW8hBDtZ1AFs6uQMBs6k4-6QDMWIdRJ4jzwZtAUEnEhkw6t-6AkmTIFzHdFoqNyNhGQZTwOAv3Emtpf9xH6__Nb1KApDR5hWRpH8YZE29olTwSM91VndH0-Bw&local=172&pubid=29217298&apptype=0&psid=110112032199648476633347679&entinfo=33473644247884_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 龙江地铁口 宁工新寓二村正规三居室 正规卧室带独卫 1400元/月,龙江宁工新寓,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-jYItS5PMuKD_lTSbB6pNAex_7k2_EqtKogrd72W7nUHN33y1WQklE1pM3b6VbDKBfbETmrl-meLW10lW1l16HHr-QuiAazy32ZP8Bnp73E3fK4Hv_B4rVWFmQ2xhBCb2SaGVQkxWDtqkgnTnuV4ut2oMzJts5psgUPeiidGVyYDFouVjHO1K_2&local=172&pubid=30494859&apptype=0&psid=110112032199648476633347679&entinfo=33677342300981_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
单间 | 单间迈皋桥广场1号线地铁口附近金纺园次卧精装修押一付 850元/月,迈皋桥金纺园,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOlc8juoQMl5YxApGNcg0UjZpk1zEffDjvZrKof8T9H1Etf3gzeNV-jWtOCCuT_L8Nh7n8sFjMOqx_7k2_EqtKo9n8dMUd9DSULt9B2qejTPhBDtZ1AFs6v3RcinNqFhwLr8pr6REzeXZtAUEnEhkw6t-6AkmTIFzHdFoqNyNhGQANzUD-EheTqj8wxSy0qcPaApDR5hWRpH8YZE29olTwQfZ8i4tTwfSg&local=172&pubid=30355550&apptype=0&psid=110112032199648476633347679&entinfo=33654673064110_0&cookie=|||&fzbref=0&key=¶ms=busitime^desc
